Unnamed: 0,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
985989,2006,1,3,29,3,2006-03-29,OO,20304,OO,N969SW,6818,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,13485,1348501,33485,MSN,"Madison, WI",WI,55.0,Wisconsin,45,705,742.0,37.0,37.0,1.0,2.0,0700-0759,13.0,755.0,821.0,5.0,754,826.0,32.0,32.0,1.0,2.0,0700-0759,0.0,,0.0,49.0,44.0,26.0,1.0,109.0,1,32.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782939,1993,3,8,3,2,1993-08-03,DL,19790,DL,,1264,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,10397,1039702,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,1900,1900.0,0.0,0.0,0.0,0.0,1900-1959,,,,,2157,2156.0,-1.0,0.0,0.0,-1.0,2100-2159,0.0,,0.0,117.0,116.0,,1.0,732.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84140,1989,3,7,3,1,1989-07-03,HP,19991,HP,,325,11423,1142302,31423,DSM,"Des Moines, IA",IA,19.0,Iowa,61,13871,1387101,33316,OMA,"Omaha, NE",NE,31.0,Nebraska,65,2120,2120.0,0.0,0.0,0.0,0.0,2100-2159,,,,,2155,2150.0,-5.0,0.0,0.0,-1.0,2100-2159,0.0,,0.0,35.0,30.0,,1.0,117.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839736,2008,4,10,10,5,2008-10-10,UA,19977,UA,N553UA,150,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,91,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1613,1625.0,12.0,12.0,0.0,0.0,1600-1659,28.0,1653.0,2213.0,6.0,2221,2219.0,-2.0,0.0,0.0,-1.0,2200-2259,0.0,,0.0,248.0,234.0,200.0,1.0,1846.0,8,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622640,2010,1,2,19,5,2010-02-19,FL,20437,FL,N948AT,719,10397,1039703,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,12339,1233903,32337,IND,"Indianapolis, IN",IN,18.0,Indiana,42,1401,1355.0,-6.0,0.0,0.0,-1.0,1400-1459,15.0,1410.0,1518.0,5.0,1534,1523.0,-11.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,93.0,88.0,68.0,1.0,432.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423808,1990,1,1,29,1,1990-01-29,NW,19386,NW,,194,14679,1467901,33570,SAN,"San Diego, CA",CA,6.0,California,91,13487,1348701,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,63,1145,1143.0,-2.0,0.0,0.0,-1.0,1100-1159,,,,,1717,1713.0,-4.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,212.0,210.0,,1.0,1532.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779850,2012,1,2,12,7,2012-02-12,DL,19790,DL,N635DL,1849,10397,1039704,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,91,1625,1630.0,5.0,5.0,0.0,0.0,1600-1659,25.0,1655.0,1834.0,5.0,1851,1839.0,-12.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,326.0,309.0,279.0,1.0,2139.0,9,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574664,2015,1,1,26,1,2015-01-26,WN,19393,WN,N791SW,146,11259,1125903,30194,DAL,"Dallas, TX",TX,48.0,Texas,74,13232,1323202,30977,MDW,"Chicago, IL",IL,17.0,Illinois,41,1430,1432.0,2.0,2.0,0.0,0.0,1400-1459,8.0,1440.0,1644.0,6.0,1640,1650.0,10.0,10.0,0.0,0.0,1600-1659,0.0,,0.0,130.0,138.0,124.0,1.0,793.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273366,2006,1,3,20,1,2006-03-20,OO,20304,OO,N916SW,6512,11638,1163802,31638,FAT,"Fresno, CA",CA,6.0,California,91,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,902,858.0,-4.0,0.0,0.0,-1.0,0900-0959,9.0,907.0,944.0,8.0,959,952.0,-7.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,57.0,54.0,37.0,1.0,209.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132707,1995,4,11,14,2,1995-11-14,WN,19393,WN,N354,1620,14747,1474702,30559,SEA,"Seattle, WA",WA,53.0,Washington,93,12889,1288902,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,85,1015,1015.0,0.0,0.0,0.0,0.0,1000-1059,10.0,1025.0,1227.0,4.0,1235,1231.0,-4.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,140.0,136.0,122.0,1.0,866.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
